0.000, 0.0000000, 0.0004296, 0.0000003, 0.0028819
0.010, 0.0000010, 0.0004105, 0.0000003, 0.0028626
0.020, 0.0000033, 0.0003927, 0.0000003, 0.0028432
0.030, 0.0000069, 0.0003761, 0.0000004, 0.0028237
0.040, 0.0000117, 0.0003606, 0.0000005, 0.0028043
0.050, 0.0000176, 0.0003461, 0.0000005, 0.0027849
0.060, 0.0000246, 0.0003327, 0.0000005, 0.0027654
0.070, 0.0000325, 0.0003202, 0.0000007, 0.0027460
0.080, 0.0000415, 0.0003085, 0.0000008, 0.0027264
0.090, 0.0000512, 0.0002976, 0.0000009, 0.0027069
0.100, 0.0000617, 0.0002874, 0.0000011, 0.0026874
0.110, 0.0000729, 0.0002778, 0.0000012, 0.0026678
0.120, 0.0000846, 0.0002688, 0.0000014, 0.0026483
0.130, 0.0000970, 0.0002602, 0.0000017, 0.0026287
0.140, 0.0001099, 0.0002522, 0.0000018, 0.0026092
0.150, 0.0001231, 0.0002446, 0.0000020, 0.0025896
0.160, 0.0001369, 0.0002375, 0.0000023, 0.0025700
0.170, 0.0001511, 0.0002306, 0.0000026, 0.0025504
0.180, 0.0001657, 0.0002240, 0.0000029, 0.0025309
0.190, 0.0001806, 0.0002178, 0.0000032, 0.0025112
0.200, 0.0001959, 0.0002118, 0.0000034, 0.0024917
0.210, 0.0002114, 0.0002061, 0.0000038, 0.0024720
0.220, 0.0002272, 0.0002006, 0.0000042, 0.0024524
0.230, 0.0002432, 0.0001954, 0.0000044, 0.0024327
0.240, 0.0002596, 0.0001903, 0.0000049, 0.0024130
0.250, 0.0002761, 0.0001855, 0.0000052, 0.0023934
0.260, 0.0002930, 0.0001808, 0.0000056, 0.0023738
0.270, 0.0003099, 0.0001763, 0.0000061, 0.0023541
0.280, 0.0003271, 0.0001718, 0.0000066, 0.0023345
0.290, 0.0003445, 0.0001677, 0.0000070, 0.0023147
0.300, 0.0003622, 0.0001636, 0.0000075, 0.0022951
0.310, 0.0003799, 0.0001597, 0.0000080, 0.0022753
0.320, 0.0003979, 0.0001558, 0.0000085, 0.0022556
0.330, 0.0004159, 0.0001521, 0.0000091, 0.0022358
0.340, 0.0004342, 0.0001484, 0.0000096, 0.0022161
0.350, 0.0004526, 0.0001449, 0.0000101, 0.0021964
0.360, 0.0004712, 0.0001415, 0.0000108, 0.0021766
0.370, 0.0004899, 0.0001382, 0.0000113, 0.0021569
0.380, 0.0005088, 0.0001349, 0.0000120, 0.0021371
0.390, 0.0005278, 0.0001318, 0.0000126, 0.0021172
0.400, 0.0005468, 0.0001287, 0.0000134, 0.0020975
0.410, 0.0005662, 0.0001257, 0.0000140, 0.0020776
0.420, 0.0005856, 0.0001228, 0.0000148, 0.0020578
0.430, 0.0006050, 0.0001200, 0.0000155, 0.0020380
0.440, 0.0006247, 0.0001172, 0.0000162, 0.0020180
0.450, 0.0006443, 0.0001145, 0.0000170, 0.0019982
0.460, 0.0006642, 0.0001119, 0.0000178, 0.0019783
0.470, 0.0006842, 0.0001092, 0.0000187, 0.0019584
0.480, 0.0007043, 0.0001068, 0.0000196, 0.0019385
0.490, 0.0007245, 0.0001042, 0.0000204, 0.0019185
0.500, 0.0007448, 0.0001019, 0.0000213, 0.0018986
0.510, 0.0007652, 0.0000994, 0.0000222, 0.0018787
0.520, 0.0007856, 0.0000972, 0.0000231, 0.0018587
0.530, 0.0008063, 0.0000948, 0.0000241, 0.0018386
0.540, 0.0008271, 0.0000926, 0.0000251, 0.0018186
0.550, 0.0008479, 0.0000904, 0.0000261, 0.0017986
0.560, 0.0008689, 0.0000883, 0.0000271, 0.0017786
0.570, 0.0008899, 0.0000861, 0.0000283, 0.0017586
0.580, 0.0009110, 0.0000841, 0.0000293, 0.0017384
0.590, 0.0009322, 0.0000821, 0.0000305, 0.0017183
0.600, 0.0009536, 0.0000802, 0.0000315, 0.0016983
0.610, 0.0009751, 0.0000782, 0.0000327, 0.0016781
0.620, 0.0009967, 0.0000763, 0.0000340, 0.0016580
0.630, 0.0010184, 0.0000744, 0.0000352, 0.0016379
0.640, 0.0010402, 0.0000726, 0.0000364, 0.0016177
0.650, 0.0010620, 0.0000708, 0.0000377, 0.0015976
0.660, 0.0010840, 0.0000690, 0.0000390, 0.0015774
0.670, 0.0011061, 0.0000674, 0.0000404, 0.0015572
0.680, 0.0011284, 0.0000656, 0.0000418, 0.0015370
0.690, 0.0011507, 0.0000640, 0.0000432, 0.0015168
0.700, 0.0011731, 0.0000623, 0.0000446, 0.0014966
0.710, 0.0011956, 0.0000607, 0.0000461, 0.0014763
0.720, 0.0012183, 0.0000591, 0.0000476, 0.0014561
0.730, 0.0012410, 0.0000576, 0.0000492, 0.0014358
0.740, 0.0012639, 0.0000560, 0.0000507, 0.0014155
0.750, 0.0012869, 0.0000545, 0.0000524, 0.0013952
0.760, 0.0013100, 0.0000530, 0.0000541, 0.0013749
0.770, 0.0013332, 0.0000517, 0.0000558, 0.0013546
